ORDER_SHOP_CD,volume_total,ca_estime,age_moyen,distance_moyenne,geolife_dominant,emplacement,surface,canal,vol_T,vol_I,vol_M,pct_T,pct_I,pct_M,cout_fonctionnement,marge_estimee,score_rentabilite,rentable,croissance_yoy,vs_mediane,profil_chalandise,decision
10007FA5-0,9,1800.0,61.5,567.7448678763235,Résidence secondaire,CV,155.0,Agence Distribution,4,2,3,44.4,22.2,33.3,65000.0,-63200.0,0.03,False,25.0,12.5,Régionale (>20km),FERMER
10PHSEROMI,3,600.0,59.0,,Populaire,CC,144.0,Réseau Partenaire,2,0,1,66.7,0.0,33.3,85000.0,-84400.0,0.01,False,,-62.5,Inconnu,FERMER
10PHSESTPA,5,1000.0,49.0,568.9080765145811,Résidence secondaire,CC,116.0,Réseau Partenaire,0,2,3,0.0,40.0,60.0,85000.0,-84000.0,0.01,False,300.0,-37.5,Régionale (>20km),FERMER
11090LYE-1,38,7600.0,46.77777777777778,294.09747231675374,Populaire,CC,121.0,Agence Distribution,25,2,11,65.8,5.3,28.9,85000.0,-77400.0,0.09,False,-53.8,375.0,Régionale (>20km),FERMER
1110099L-Q,40,8000.0,55.666666666666664,257.27135382247,Rural ouvrier,CC,227.0,Agence Distribution,30,2,8,75.0,5.0,20.0,85000.0,-77000.0,0.09,False,10.5,400.0,Régionale (>20km),FERMER
11108FA2-3,2,400.0,79.0,,Pavillonnaire familial,CV,91.0,Agence Distribution,0,0,2,0.0,0.0,100.0,65000.0,-64600.0,0.01,False,,-75.0,Inconnu,FERMER
12031FF4-4,10,2000.0,41.5,244.87372185922007,Pavillonnaire familial,CV,133.0,Agence Distribution,6,1,3,60.0,10.0,30.0,65000.0,-63000.0,0.03,False,-33.3,25.0,Régionale (>20km),FERMER
12100FF4-2,15,3000.0,60.333333333333336,224.8057054361924,Résidence secondaire,CV,157.0,Agence Distribution,11,2,2,73.3,13.3,13.3,65000.0,-62000.0,0.05,False,-33.3,87.5,Régionale (>20km),FERMER
12PHSEONET,4,800.0,56.5,355.0162066923952,Rural traditionnel,CC,141.0,Réseau Partenaire,2,2,0,50.0,50.0,0.0,85000.0,-84200.0,0.01,False,200.0,-50.0,Régionale (>20km),FERMER
12PHSEVILL,1,200.0,49.0,257.1636285324658,Urbain classe moyenne,CV,64.0,Réseau Partenaire,1,0,0,100.0,0.0,0.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Régionale (>20km),FERMER
12PHSEVIRO,4,800.0,41.5,,Résidence secondaire,CC,132.0,Réseau Partenaire,0,1,3,0.0,25.0,75.0,85000.0,-84200.0,0.01,False,0.0,-50.0,Inconnu,FERMER
13001MC2-8,3302,660400.0,51.43862520458265,6.991910705559351,Populaire,CV,462.0,Agence Distribution,1896,480,926,57.4,14.5,28.0,65000.0,595400.0,10.16,True,-9.4,41175.0,Locale (<10km),MAINTENIR
13001PYQ-5,1,200.0,49.0,,Urbain familial aisé,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu,FERMER
13002MAR-2,7,1400.0,50.666666666666664,72.20572378189084,Pavillonnaire familial,CC,129.0,Agence Distribution,0,0,7,0.0,0.0,100.0,85000.0,-83600.0,0.02,False,-25.0,-12.5,Régionale (>20km),FERMER
13006RCW-5,1,200.0,39.0,,Urbain classe moyenne,,,Agence Distribution,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu,FERMER
13007FV6-4,1,200.0,39.0,,Populaire,,,Agence Distribution,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu,FERMER
13008FM5-4,1991,398200.0,55.48357565966613,9.245373500765488,Urbain familial aisé,CC,90.0,Agence Distribution,1196,292,503,60.1,14.7,25.3,85000.0,313200.0,4.68,True,3.2,24787.5,Locale (<10km),MAINTENIR
13008FM5-6,40,8000.0,47.5,,Résidence secondaire,,,Ag PRO/PME,1,39,0,2.5,97.5,0.0,65000.0,-57000.0,0.12,False,371.4,400.0,Inconnu,FERMER
13011FM5-1,2,400.0,54.0,,Résidence secondaire,,,Agence Distribution,0,0,2,0.0,0.0,100.0,65000.0,-64600.0,0.01,False,-100.0,-75.0,Inconnu,FERMER
13011L5D-5,3110,622000.0,50.90165061898212,10.508608436224035,Urbain classe moyenne,CC,146.0,Agence Distribution,1716,527,867,55.2,16.9,27.9,85000.0,537000.0,7.32,True,11.4,38775.0,Semi-locale (10-20km),MAINTENIR
13014YM2-S,2,400.0,64.0,,Populaire,,,,0,0,2,0.0,0.0,100.0,65000.0,-64600.0,0.01,False,-100.0,-75.0,Inconnu,FERMER
13015FN8-1,3,600.0,49.0,,Pavillonnaire familial,,,Agence Distribution,0,0,3,0.0,0.0,100.0,65000.0,-64400.0,0.01,False,-50.0,-62.5,Inconnu,FERMER
13090FE3-7,12,2400.0,61.72727272727273,,Pavillonnaire familial,,,Agence Distribution,0,0,12,0.0,0.0,100.0,65000.0,-62600.0,0.04,False,0.0,50.0,Inconnu,FERMER
13098FE3-3,2133,426600.0,53.43997990959317,4.806136903545918,Pavillonnaire familial,CC,83.0,Agence Distribution,1175,366,592,55.1,17.2,27.8,85000.0,341600.0,5.02,True,21.0,26562.5,Locale (<10km),DÉVELOPPER
13100JAX-5,2420,484000.0,52.14839277851167,7.989351925577743,Pavillonnaire familial,CC,128.0,Agence Distribution,1286,419,715,53.1,17.3,29.5,85000.0,399000.0,5.69,True,4.7,30150.0,Locale (<10km),MAINTENIR
